date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:11:03	103114/103114	---M-Z	200	added ('OK')	text/html	etag:%22b9c03dd-192ca-5e79979935d8b-gzip%22	https://codervent.com/shopingo/demo/shopingo_V1/index.html	D:/Sachin.html/ecom-exp/codervent.com/shopingo/demo/shopingo_V1/index.html	(from )
10:11:04	315/315	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2011%20May%202023%2004:41:04%20GMT	https://codervent.com/robots.txt		(from )
10:11:04	1022/1022	---M--	200	added ('OK')	image/webp	etag:%22b9c0411-3fe-5e7997b248542%22	https://codervent.com/shopingo/demo/shopingo_V1/assets/images/favicon-32x32.webp	D:/Sachin.html/ecom-exp/codervent.com/shopingo/demo/shopingo_V1/assets/images/favicon-32x32.webp	(from https://codervent.com/shopingo/demo/shopingo_V1/index.html)
10:11:05	222049/222049	---M-Z	200	added ('OK')	text/css	etag:%22b9c040b-36361-5e7997b027e49-gzip%22	https://codervent.com/shopingo/demo/shopingo_V1/assets/css/bootstrap.min.css	D:/Sachin.html/ecom-exp/codervent.com/shopingo/demo/shopingo_V1/assets/css/bootstrap.min.css	(from https://codervent.com/shopingo/demo/shopingo_V1/index.html)
10:11:05	73271/73271	---M-Z	200	added ('OK')	text/css	etag:W/%2211e37-gaZqnrLenLCs4BvyXVKzdrhY6WA%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.7.2/font/bootstrap-icons.css	D:/Sachin.html/ecom-exp/cdn.jsdelivr.net/npm/bootstrap-icons@1.7.2/font/bootstrap-icons.css	(from https://codervent.com/shopingo/demo/shopingo_V1/index.html)
10:11:06	1807/1807	---M-Z	200	added ('OK')	text/css	etag:%22b9c26b9-70f-5e799c1fe0afd-gzip%22	https://codervent.com/shopingo/demo/shopingo_V1/assets/plugins/slick/slick.css	D:/Sachin.html/ecom-exp/codervent.com/shopingo/demo/shopingo_V1/assets/plugins/slick/slick.css	(from https://codervent.com/shopingo/demo/shopingo_V1/index.html)
10:11:06	3405/3405	---M-Z	200	added ('OK')	text/css	etag:%22b9c26b7-d4d-5e799c1f73ccb-gzip%22	https://codervent.com/shopingo/demo/shopingo_V1/assets/plugins/slick/slick-theme.css	D:/Sachin.html/ecom-exp/codervent.com/shopingo/demo/shopingo_V1/assets/plugins/slick/slick-theme.css	(from https://codervent.com/shopingo/demo/shopingo_V1/index.html)
10:11:06	16408/16408	---M-Z	200	added ('OK')	text/css	etag:%22b9c040e-4018-5e7997b0f8e0c-gzip%22	https://codervent.com/shopingo/demo/shopingo_V1/assets/css/style.css	D:/Sachin.html/ecom-exp/codervent.com/shopingo/demo/shopingo_V1/assets/css/style.css	(from https://codervent.com/shopingo/demo/shopingo_V1/index.html)
10:11:06	14159/14159	---M-Z	200	added ('OK')	text/css	etag:%22b9c040c-374f-5e7997b0168f1-gzip%22	https://codervent.com/shopingo/demo/shopingo_V1/assets/css/dark-theme.css	D:/Sachin.html/ecom-exp/codervent.com/shopingo/demo/shopingo_V1/assets/css/dark-theme.css	(from https://codervent.com/shopingo/demo/shopingo_V1/index.html)
10:11:07	10506/10506	---M--	200	added ('OK')	image/webp	etag:%22b9c0413-290a-5e7997b2ced9c%22	https://codervent.com/shopingo/demo/shopingo_V1/assets/images/logo.webp	D:/Sachin.html/ecom-exp/codervent.com/shopingo/demo/shopingo_V1/assets/images/logo.webp	(from https://codervent.com/shopingo/demo/shopingo_V1/index.html)
